BuiltUpSize,City,Furnishing,NoOfBathroom,NoOfBedroom,NoOfParking,Postcode,PropertyName,RentalPerMth
650,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2500
1300,Bangsar,Unfurnished,2,2,1,59100,Cascadium,4800
700,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2500
1100,Bukit Jalil,Unfurnished,2,3,0,57000,Parkhill Residence,1500
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2800
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,1900
700,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3000
1119,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,3500
1485,Bangsar South,Fully Furnished,2,3,0,59100,Begonia @ The Park Residences,4000
1000,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,3600
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2500
989,KLCC,Fully Furnished,1,1,1,50450,The Troika,4000
969,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,3800
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3000
1019,Pantai Hillpark,Fully Furnished,2,3,2,59200,Saville @ The Park,2300
2020,Mont Kiara,Unfurnished,2,4,0,50480,Residensi 22,7500
538,Bukit Bintang,Fully Furnished,1,1,0,55100,The Robertson,3200
2411,Mont Kiara,Fully Furnished,4,4,0,50480,Seni Mont Kiara,8000
1973,Mont Kiara,Fully Furnished,3,3,1,50480,Mont Kiara Meridin,5000
1237,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3200
1237,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3000
1450,Bukit Jalil,Fully Furnished,2,4,1,57000,Vista Komanwel A,2200
1135,KL Sentral,Fully Furnished,2,2,1,50450,Suasana Sentral Loft,4000
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2100
1389,Desa ParkCity,Fully Furnished,2,3,0,52200,The Westside Two,4000
1300,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2200
538,Bukit Bintang,Fully Furnished,1,1,0,55100,The Robertson,2600
1485,Bangsar South,Fully Furnished,2,3,0,59100,Begonia @ The Park Residences,4200
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2300
1237,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3300
2513,Mont Kiara,Fully Furnished,5,4,0,50480,Mont Kiara Meridin,7000
1230,Setapak,Fully Furnished,2,3,1,53200,Heritage,1400
1200,Mont Kiara,Unfurnished,2,3,0,50480,Mont Kiara Astana,4800
2347,Mont Kiara,Unfurnished,4,3,3,50480,Seni Mont Kiara,8500
1224,Bukit Jalil,Fully Furnished,2,3,0,57000,Vista Komanwel A,1800
1346,Desa ParkCity,Fully Furnished,2,3,0,52200,The Breezeway,4200
538,Bukit Bintang,Unfurnished,1,1,1,55100,The Robertson,3200
908,Setapak,Fully Furnished,2,3,2,53200,Ascenda Residence @ Skyarena,1800
1049,Sentul,Fully Furnished,2,3,1,51000,Sang Suria,1500
1050,Jalan Kuching,Fully Furnished,2,3,0,51200,Sri Putramas,1700
1392,Happy Garden,Unfurnished,2,3,2,58200,Le Yuan Residence,2100
1377,Desa ParkCity,Fully Furnished,2,3,2,52200,One Central Park,5000
1389,Desa ParkCity,Fully Furnished,2,3,2,52200,The Westside Two,4500
1085,Wangsa Maju,Fully Furnished,2,3,2,53300,Infiniti 3 Residences,2300
1531,KL City Centre,Fully Furnished,3,3,3,50450,Mirage Residence,5000
1044,Taman Gembira,Fully Furnished,2,3,1,58200,Desa Cindaimas,1600
822,Brickfields,Fully Furnished,1,1,1,50470,633 Residency,2800
822,Brickfields,Fully Furnished,1,2,0,50470,633 Residency,2800
1100,Bangsar,Fully Furnished,2,2,1,59100,Cascadium,2999
1392,Happy Garden,Fully Furnished,2,3,2,58200,Le Yuan Residence,2800
1799,Dutamas,Fully Furnished,5,5,2,52100,Verdana,4000
1390,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,4500
753,Hampshire Park,Fully Furnished,1,1,0,50450,Hampshire Residences,2800
1186,Sentul Selatan,Fully Furnished,3,3,0,51000,The Fennel,3000
1485,Bangsar South,Fully Furnished,2,3,2,59100,Begonia @ The Park Residences,4500
1237,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3100
1237,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3500
698,Taman Mas Tiara,Fully Furnished,1,2,1,51200,Kiara East,1600
1186,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3300
1085,Wangsa Maju,Fully Furnished,2,3,2,53300,Infiniti 3 Residences,3300
538,Bukit Bintang,Fully Furnished,1,1,1,55100,The Robertson,3000
538,Bukit Bintang,Unfurnished,1,1,1,55100,The Robertson,2600
1186,Sentul Selatan,Fully Furnished,3,3,2,51000,The Fennel,3200
1100,Bangsar,Unfurnished,2,2,1,59100,Bangsar Puteri,2500
1275,Taman Danau Kota,Fully Furnished,2,3,0,53100,Platinum Lake PV 12,1800
1000,KL Eco City,Fully Furnished,2,2,0,59200,Vogue Suites One,4800
657,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3200
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3200
700,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2800
929,KL City Centre,Fully Furnished,2,2,1,50250,Idaman Residence,3500
1119,KL Sentral,Fully Furnished,2,2,0,50450,Suasana Sentral Loft,4300
1267,Taman Seri Rampai,Fully Furnished,2,3,1,53300,Villa Wangsamas,2100
2315,KLCC,Fully Furnished,4,3,2,50450,Stonor Park,5800
1119,KL Eco City,Fully Furnished,2,2,2,59200,Vogue Suites One,4900
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2300
1382,Wangsa Maju,Fully Furnished,2,3,2,53100,Seri Riana Residence,3500
2153,Bukit Ceylon,Fully Furnished,4,4,2,50200,Verticas Residensi,10000
1550,Bukit Ceylon,Fully Furnished,2,2,2,50200,Verticas Residensi,5200
1192,Taman Desa,Fully Furnished,2,3,2,58100,Casa Desa,2100
650,Brickfields,Fully Furnished,1,2,0,50470,633 Residency,2700
1733,Brickfields,Fully Furnished,3,3,0,50470,633 Residency,4000
1500,Brickfields,Fully Furnished,2,3,0,50470,Sri Impian Condominium,3000
745,Dutamas,Fully Furnished,1,1,1,51200,Icon Residence,2300
1300,Dutamas,Fully Furnished,3,2,0,51200,Icon Residence,4000
1400,Mont Kiara,Unfurnished,2,3,2,50480,Mont Kiara Pines,3600
646,Bukit Bintang,Fully Furnished,1,1,1,55100,The Robertson,3200
1200,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,4300
1085,Wangsa Maju,Unfurnished,2,2,0,53100,Seri Riana Residence,1700
1485,Desa ParkCity,Fully Furnished,2,3,2,52200,One Central Park,6000
710,KL Eco City,Fully Furnished,1,1,0,59200,Vogue Suites One,2500
1468,Bukit Ceylon,Fully Furnished,2,2,1,50200,Verticas Residensi,5000
1085,Wangsa Maju,Fully Furnished,2,3,2,53300,Infiniti 3 Residences,3100
1100,KL Eco City,Fully Furnished,2,2,2,59200,Vogue Suites One,4200
1021,Taman Sri Sinar,Fully Furnished,2,2,1,51200,Scenaria @ North Kiara Hills,2200
1073,Bukit Jalil,Unfurnished,2,3,2,58200,Kiara Residence 2 (Residensi Kiara Jalil 2),2200
1528,Wangsa Maju,Fully Furnished,2,3,2,53100,Seri Riana Residence,4200
1076,KL Eco City,Fully Furnished,2,2,2,59200,Vogue Suites One,5800
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3100
1050,Jalan Kuching,Fully Furnished,2,3,0,51200,Sri Putramas,1900
1212,Bukit Jalil,Fully Furnished,2,3,3,57000,Savanna Condominium,2300
1003,KLCC,Fully Furnished,2,1,0,50450,The Troika,4000
1270,Hampshire Park,Fully Furnished,2,2,1,50450,Hampshire Residences,4800
1270,Hampshire Park,Fully Furnished,2,2,1,50450,Hampshire Residences,5500
707,Bukit Bintang,Fully Furnished,1,1,1,50200,Angkasa Impian,2500
1600,Mont' Kiara,Fully Furnished,3,4,2,50480,Almaspuri,3600
1700,Bangsar,Fully Furnished,2,2,0,59100,Park Rose,4700
1300,Brickfields,Fully Furnished,2,3,1,50470,Villa Scott,2600
1119,KL Eco City,Fully Furnished,2,2,2,59200,Vogue Suites One,4300
1175,Bukit Bintang,Fully Furnished,1,1,1,50200,Angkasa Impian 2,2700
1593,Mont Kiara,Fully Furnished,2,3,2,50450,Kiaraville,5000
1111,Taman Sungai Besi,Fully Furnished,2,3,2,57100,Midfields 2,2100
1415,Sri Petaling,Unfurnished,2,3,1,57000,Endah Regal Condominium,1350
975,Bangsar,Fully Furnished,2,3,1,59100,Bangsar Permai,2500
1050,Pantai Hillpark,Fully Furnished,2,3,1,59200,Pantai Hillpark 2,2000
1625,Bangsar,Fully Furnished,2,3,0,59100,Bayu Angkasa,3200
1367,Mid Valley City,Fully Furnished,2,3,0,59200,Northpoint Residences,4500
1200,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pelangi,3200
1000,Setapak,Fully Furnished,2,3,2,53200,Ascenda Residence @ Skyarena,1900
1335,Bukit Jalil,Fully Furnished,3,3,2,57000,KM1 West,2450
1100,Bukit Jalil,Unfurnished,2,3,0,57000,Parkhill Residence,2200
1109,Wangsa Maju,Fully Furnished,2,2,1,53300,Riana Green East,2300
1250,Mont Kiara,Fully Furnished,2,3,2,50480,Mont Kiara Pelangi,3200
1190,Taman Gembira,Unfurnished,2,3,2,58200,Gembira Residen,1800
1100,Bukit Jalil,Fully Furnished,2,3,1,57000,Parkhill Residence,2300
1208,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,3200
1300,Pantai Dalam,Fully Furnished,2,2,1,59200,Pantai Panorama Condominiums,2400
1300,Sri Hartamas,Fully Furnished,2,3,2,50480,Puncak Prima,2500
1400,Pantai Hillpark,Fully Furnished,2,3,1,59200,Pantai Hillpark 3,2200
1485,Bangsar South,Fully Furnished,2,3,2,59100,Begonia @ The Park Residences,4000
1253,Dutamas,Unfurnished,2,3,0,52100,28 Dutamas,2600
1400,Dutamas,Unfurnished,3,3,0,52100,28 Dutamas,2800
1380,Setapak,Unfurnished,3,3,2,53200,The Reach @ Titiwangsa,2000
980,Kuchai Lama,Unfurnished,2,3,1,57100,Sri Desa,1200
1539,KL City Centre,Fully Furnished,3,3,1,50450,Mirage Residence,6000
1474,Dutamas,Unfurnished,3,3,1,51200,Prima Duta,1700
1442,Taman Melawati,Unfurnished,2,3,2,53100,The Veo,2800
1100,Jalan Kuching,Unfurnished,2,3,1,50000,Royal Domain Sri Putramas 2,1800
1033,Bangsar,Fully Furnished,2,2,0,59100,Sri Penaga,3000
753,Taman Melawati,Fully Furnished,1,1,0,53100,The Veo,1800
1000,Setapak,Unfurnished,2,3,2,53200,Ascenda Residence @ Skyarena,1300
1018,Bandar Tun Razak,Unfurnished,2,3,2,56000,The Holmes 1,1350
1071,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,3999
1646,Pantai Hillpark,Fully Furnished,2,3,0,59200,Saville @ The Park,3200
1019,Pantai Hillpark,Fully Furnished,2,3,2,59200,Saville @ The Park,2600
1280,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,2800
1250,Taman Danau Desa,Fully Furnished,2,3,1,58100,Danau Permai,2300
1019,Taman Sri Sinar,Unfurnished,2,3,0,51200,Scenaria @ North Kiara Hills,1300
1394,Happy Garden,Fully Furnished,2,3,2,58200,Le Yuan Residence,2600
969,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,4300
1312,Taman Seputeh,Fully Furnished,2,3,1,58000,Seputeh Permai,2400
160,Setapak,Fully Furnished,1,1,1,53100,Platinum Hill PV 2,800
960,Bandar Menjalara,Fully Furnished,2,3,1,52200,Plaza Menjalara,2000
960,Bandar Menjalara,Fully Furnished,2,3,1,52200,Plaza Menjalara,1900
1155,Taman Sri Sinar,Fully Furnished,3,3,2,51200,Villa Crystal,3000
1380,Taman Tun Dr Ismail,Fully Furnished,2,3,1,60000,Kiara Park,2700
750,Pantai Dalam,Fully Furnished,1,1,1,59200,Pantai Panorama Condominiums,2000
1400,Pantai Hillpark,Fully Furnished,2,3,1,59200,Pantai Hillpark 1,2400
1475,Taman Tun Dr Ismail,Fully Furnished,2,3,1,60000,Villa Flora,3000
1307,Bukit Bintang,Fully Furnished,2,2,1,55100,Pavillion Suites,9000
1170,Taman Bukit Desa,Fully Furnished,2,3,1,58100,Desa Villa Condominium,2500
1018,Bandar Tun Razak,Unfurnished,2,3,2,56000,The Holmes 1,1400
906,Taman Seri Sentosa,Fully Furnished,2,3,1,58000,Avant Court,1700
1106,KLCC,Fully Furnished,2,2,0,50450,The Meritz,4800
1044,Taman Sungai Besi,Fully Furnished,2,3,3,57100,Midfields 2,2200
1800,Ampang,Fully Furnished,4,3,1,50450,Brunsfield EmbassyView,5000
1356,KLCC,Fully Furnished,2,2,1,50300,Mayang Court,3300
911,Taman Mas Tiara,Fully Furnished,2,3,1,51200,Kiara East,2200
700,KL City,Unfurnished,1,1,0,55100,Tribeca,3900
1000,Jalan Kuching,Fully Furnished,1,2,1,51200,Sri Putramas III / Royal Regent,2000
1100,Jalan Kuching,Fully Furnished,2,2,1,51200,Sri Putramas III / Royal Regent,2400
1019,Taman Sri Sinar,Fully Furnished,2,3,2,51200,Scenaria @ North Kiara Hills,2300
1237,Sentul Selatan,Fully Furnished,2,3,1,51000,The Fennel,3200
1300,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2500
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2350
1237,Sentul Selatan,Fully Furnished,2,3,1,51000,The Fennel,3500
1000,Mont Kiara,Fully Furnished,2,2,0,50480,Mont Kiara Bayu,2400
1019,Taman Sri Sinar,Fully Furnished,2,3,2,51200,Scenaria @ North Kiara Hills,2400
350,Kuchai Lama,Fully Furnished,1,1,1,58200,Arte Condominium,1150
1035,Salak Selatan,Unfurnished,2,3,1,57100,Residensi Hijauan Lumayan,1200
1661,Mont Kiara,Fully Furnished,3,3,2,50480,Kiara 9 Residency,5000
1185,Sentul Selatan,Fully Furnished,3,3,2,51000,The Fennel,3300
1241,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Astana,3000
750,Pantai Dalam,Fully Furnished,1,1,0,59200,Pantai Panorama Condominiums,1900
1206,Bukit Kiara,Unfurnished,2,3,1,50480,Mont Kiara Palma,4500
538,Bukit Bintang,Fully Furnished,1,1,0,55100,The Robertson,2800
1100,Bukit Jalil,Unfurnished,2,3,2,57000,Parkhill Residence,2500
1450,Kepong Baru,Fully Furnished,3,4,2,52100,First Residence (Residensi Unggul),2500
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2400
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2700
1300,Bukit Jalil,Unfurnished,2,3,2,57000,Parkhill Residence,2200
1168,Taman Gembira,Fully Furnished,2,3,2,58200,Gembira Residen,2400
1100,Dutamas,Fully Furnished,2,3,1,51200,Changkat View,2200
1009,Sentul,Unfurnished,2,3,1,51000,Sri Suajaya Condominium,1250
538,Bukit Bintang,Fully Furnished,1,1,1,55100,The Robertson,2800
538,Bukit Bintang,Unfurnished,1,1,1,55100,The Robertson,2800
1267,Taman Seri Rampai,Fully Furnished,2,3,2,53300,Villa Wangsamas,2000
1267,Taman Seri Rampai,Fully Furnished,3,4,1,53300,Villa Wangsamas,2100
1272,Taman City,Fully Furnished,2,3,2,51200,Boulevard Serviced Apartment,2200
1250,Pantai Dalam,Fully Furnished,2,2,0,59200,Pantai Panorama Condominiums,2700
1250,Pantai Dalam,Fully Furnished,2,3,0,59200,Pantai Panorama Condominiums,2300
1250,Pantai Dalam,Fully Furnished,2,2,0,59200,Pantai Panorama Condominiums,2500
1081,Sentul,Fully Furnished,2,3,2,51100,1 Sentul,2000
1100,Dutamas,Fully Furnished,2,3,1,51200,Changkat View,1800
1451,Dutamas,Fully Furnished,3,3,2,52100,Verdana,3500
1106,Taman Sungai Besi,Unfurnished,2,3,2,57100,The Vyne,1599
1235,Taman Desa,Fully Furnished,2,3,0,58200,Bukit Desa Condominium,2300
1300,Bukit Jalil,Unfurnished,2,4,0,57000,Parkhill Residence,1888
1076,Jalan Klang Lama (Old Klang Road),Unfurnished,2,3,0,58200,Petalz Residences,1750
1400,Taman Tun Dr Ismail,Unfurnished,2,3,1,60000,Mas Kiara Residences,2900
1279,Taman Desa,Fully Furnished,2,2,2,58100,Casa Desa,2000
1076,KLCC,Fully Furnished,2,2,1,50450,The Meritz,4700
1320,Jalan Kuching,Fully Furnished,2,3,0,50000,Royal Domain Sri Putramas 2,2200
880,Jalan Kuching,Fully Furnished,2,2,1,51200,Sri Putramas III / Royal Regent,2200
1300,Jalan Kuching,Fully Furnished,2,3,0,50000,Royal Domain Sri Putramas 2,1800
865,Jalan Kuching,Fully Furnished,2,2,1,51200,Sri Putramas III / Royal Regent,2200
865,Jalan Kuching,Fully Furnished,2,2,0,51200,Sri Putramas III / Royal Regent,2200
1100,Jalan Kuching,Fully Furnished,2,3,0,51200,Sri Putramas,1700
1300,Jalan Kuching,Fully Furnished,2,3,0,50000,Royal Domain Sri Putramas 2,1900
1100,Jalan Kuching,Fully Furnished,2,3,0,51200,Sri Putramas III / Royal Regent,2200
1100,Jalan Kuching,Fully Furnished,2,3,0,51200,Sri Putramas,1800
1087,Sentul,Fully Furnished,3,3,1,51100,The Saffron,2180
600,Jalan Ipoh,Fully Furnished,1,2,1,52100,Rivercity Condominium,1600
400,Jalan Ipoh,Fully Furnished,1,1,0,52100,Rivercity Condominium,1300
1035,Salak Selatan,Unfurnished,2,3,1,57100,Residensi Hijauan Lumayan,1100
1076,KLCC,Fully Furnished,2,2,1,50450,The Meritz,5500
1071,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Sophia,3500
1260,Bandar Menjalara,Unfurnished,2,3,0,52200,Plaza Menjalara,1780
1504,Bukit Jalil,Fully Furnished,3,3,2,57000,KM1 West,3200
1513,Bukit Jalil,Fully Furnished,2,3,0,58200,The Rainz,3900
1451,Dutamas,Fully Furnished,3,3,0,52100,Verdana,3500
1000,KLCC,Fully Furnished,2,1,0,50450,The Troika,6000
1451,Dutamas,Fully Furnished,3,3,0,52100,Verdana,3600
1500,Bangsar,Fully Furnished,2,3,0,59100,Bangsar Puteri,4000
1451,Dutamas,Fully Furnished,3,3,0,52100,Verdana,3800
1032,Bukit Jalil,Fully Furnished,2,2,2,58200,The Z Residence,2300
1200,KLCC,Fully Furnished,2,1,0,50450,The Troika,6500
750,Bangsar,Fully Furnished,1,1,1,59100,Bangsar Indah,1900
1135,Taman Tun Dr Ismail,Fully Furnished,2,2,1,60000,Kiara View,2800
1170,Taman Bukit Desa,Fully Furnished,2,3,1,58100,Desa Villa Condominium,2600
1646,KLCC,Fully Furnished,2,2,1,50450,The Troika,7000
1112,Bangsar,Fully Furnished,2,2,1,59100,Suasana Bangsar,4000
1388,KLCC,Fully Furnished,2,2,0,50450,The Meritz,5500
1076,KLCC,Fully Furnished,2,2,1,50450,The Meritz,4500
1071,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Sophia,3000
1186,Sentul Selatan,Fully Furnished,3,3,3,51000,The Fennel,3500
1280,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,3800
1140,Taman Sungai Besi,Fully Furnished,2,3,1,57100,Midfields,1900
