BuiltUpSize,City,Furnishing,NoOfBathroom,NoOfBedroom,NoOfParking,Postcode,PropertyName,RentalPerMth
1300,Pantai Dalam,Unfurnished,2,2,1,59200,Pantai Panorama Condominiums,2000
1250,Pantai Dalam,Fully Furnished,2,2,1,59200,Pantai Panorama Condominiums,2400
1800,KLCC,Fully Furnished,3,3,1,50450,1A Stonor,4500
1166,Setapak,Unfurnished,2,4,0,53200,Madu Mas,1300
1450,Setapak,Unfurnished,2,3,0,53100,Platinum Hill PV 2,1800
1253,Pantai Hillpark,Fully Furnished,2,3,2,59200,Saville @ The Park,3000
1267,Taman Seri Rampai,Fully Furnished,2,3,2,53300,Villa Wangsamas,2100
1000,Taman OUG,Unfurnished,2,3,2,58200,Fortuna Court,1200
890,Mont Kiara,Fully Furnished,1,1,1,50480,Tiffani kiara,3000
1457,Bukit Jalil,Fully Furnished,2,4,3,58200,Kiara Residence 2 (Residensi Kiara Jalil 2),2500
1033,Bangsar,Fully Furnished,2,2,0,59100,Sri Penaga,3500
1033,Bangsar,Fully Furnished,2,2,0,59100,Sri Penaga,3200
1200,Bangsar,Unfurnished,2,2,1,59100,Sri Penaga,4500
1250,Taman Danau Desa,Fully Furnished,2,3,1,58100,Danau Permai,2150
1348,KLCC,Fully Furnished,1,1,1,50450,The Troika,7500
1348,KLCC,Fully Furnished,1,1,1,50450,The Troika,6000
1451,Dutamas,Fully Furnished,3,3,2,52100,Verdana,2800
1600,Setapak,Fully Furnished,3,3,2,53200,The Reach @ Titiwangsa,2800
1141,Sri Petaling,Fully Furnished,2,3,1,57000,Endah Regal Condominium,1700
1141,Sri Petaling,Fully Furnished,2,3,1,57000,Endah Regal Condominium,1800
1276,Jalan Ipoh,Fully Furnished,2,3,0,52100,Rivercity Condominium,2600
1200,Jalan Kuching,Fully Furnished,2,3,1,50000,Royal Domain Sri Putramas 2,1800
750,Pantai Dalam,Fully Furnished,1,1,0,59200,Pantai Panorama Condominiums,2000
1011,Bandar Baru Sentul,Fully Furnished,2,3,2,51000,Rafflesia,2200
1539,Bangsar,Fully Furnished,3,3,1,59100,Cascadium,3800
1250,Bangsar,Fully Furnished,2,2,2,59100,Park Rose,3100
1350,Taman SA,Fully Furnished,2,2,1,59000,Jamnah View,4200
1249,Mont Kiara,Fully Furnished,2,3,1,50480,Angkupuri Condominium,3500
2608,Dutamas,Fully Furnished,3,3,2,51200,Icon Residence,7000
930,Cheras,Fully Furnished,2,3,1,56000,Bayu Tasik 2,1700
850,Brickfields,Fully Furnished,1,2,0,50470,633 Residency,2700
1195,Brickfields,Fully Furnished,2,2,0,50470,633 Residency,3400
1722,Brickfields,Fully Furnished,3,3,0,50470,633 Residency,3800
1000,Brickfields,Unfurnished,2,3,0,50470,Palm Court Condominium,1900
1300,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pelangi,4500
700,Taman Mas Tiara,Fully Furnished,1,2,0,51200,Kiara East,1800
1100,Jalan Kuching,Fully Furnished,2,3,1,51200,Sri Putramas,1800
1280,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pelangi,3500
680,Bangsar,Fully Furnished,1,1,1,59100,Bangsar Indah,2500
950,KL Eco City,Fully Furnished,1,2,1,59200,Vogue Suites One,3500
1100,Setapak,Unfurnished,2,3,2,53200,Ascenda Residence @ Skyarena,1750
1000,Mont Kiara,Fully Furnished,2,2,1,50480,Laman Suria,1900
1071,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Sophia,3800
1480,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3200
1325,Bangsar,Fully Furnished,2,2,0,59100,Sri Wangsaria,3500
1100,Bangsar,Fully Furnished,2,2,0,59100,Bangsar Puteri,2500
1529,Bangsar,Fully Furnished,3,3,1,59100,Bayu Angkasa,3700
1208,Mont Kiara,Unfurnished,2,2,1,50480,Mont Kiara Sophia,3250
1065,Sentul,Fully Furnished,2,3,1,51200,Casa Idaman,1500
1100,Bukit Jalil,Unfurnished,2,3,0,57000,Parkhill Residence,1400
1100,Dutamas,Fully Furnished,2,3,2,51200,Changkat View,2100
1249,Mont Kiara,Fully Furnished,2,3,0,50480,Angkupuri Condominium,3500
1259,Wangsa Maju,Fully Furnished,2,3,2,53100,Seri Riana Residence,3500
1485,Bangsar South,Fully Furnished,2,3,2,59100,Begonia @ The Park Residences,4300
1200,Pantai Dalam,Fully Furnished,2,2,1,59200,Pantai Panorama Condominiums,2400
932,Taman Gembira,Unfurnished,2,3,1,58200,Meadow Park 2,1000
717,Taman Midah,Unfurnished,1,1,1,56000,Prisma Cheras,1000
927,Cheras,Fully Furnished,2,3,1,56000,Bayu Tasik 1,1500
1295,Jalan Kuching,Fully Furnished,2,3,1,50000,Royal Domain Sri Putramas 2,1900
1800,Jalan Kuching,Fully Furnished,4,4,2,51200,Sri Putramas III / Royal Regent,3300
775,Jalan Tun Razak,Fully Furnished,1,1,0,50450,Menara Bintang Goldhill,2850
1100,Bukit Jalil,Unfurnished,2,3,2,57000,Parkhill Residence,1800
1600,Mont Kiara,Fully Furnished,2,3,2,50480,Mont Kiara Meridin,5000
1390,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pelangi,3300
1200,Mont Kiara,Fully Furnished,2,3,2,50480,Pavilion Hilltop,4700
1474,Dutamas,Unfurnished,3,3,1,51200,Prima Duta,1600
1208,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Pelangi,2500
1400,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Pelangi,4000
1241,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Astana,3800
1280,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Pelangi,2700
1208,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Pelangi,3000
913,Bukit Kiara,Fully Furnished,2,2,0,50480,Mont Kiara Palma,4200
963,Taman Sri Endah,Unfurnished,2,3,1,57000,Endah Ria,1700
1200,Taman Danau Desa,Fully Furnished,2,3,1,58100,Danau Permai,2500
1500,Taman Tun Dr Ismail,Fully Furnished,2,3,0,60000,Villa Flora,2500
1250,Mont Kiara,Fully Furnished,2,3,1,50480,Angkupuri Condominium,2500
1276,Jalan Ipoh,Fully Furnished,2,3,1,52100,Rivercity Condominium,2000
600,Jalan Ipoh,Fully Furnished,1,2,0,52100,Rivercity Condominium,1800
1000,Jalan Ipoh,Fully Furnished,1,2,0,52100,Rivercity Condominium,1800
1215,Jalan Ipoh,Fully Furnished,2,3,1,52100,Rivercity Condominium,2000
600,Jalan Ipoh,Fully Furnished,1,2,0,52100,Rivercity Condominium,1600
1240,Mont Kiara,Unfurnished,2,3,2,50480,Vista Kiara,2800
1643,Mont Kiara,Fully Furnished,2,3,0,50480,Lanai Kiara,3000
1300,Bukit Jalil,Fully Furnished,2,4,3,57000,Parkhill Residence,3000
1782,Happy Garden,Fully Furnished,4,4,2,58200,Le Yuan Residence,2800
2314,KLCC,Fully Furnished,5,4,0,50400,Dua Residency,7500
2314,KLCC,Fully Furnished,5,4,0,50400,Dua Residency,5500
1798,KL City Centre,Fully Furnished,3,3,1,50450,Mirage Residence,6800
1098,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Bayu,2450
1390,Pantai Hillpark,Fully Furnished,2,3,0,59200,Saville @ The Park,4000
880,Jalan Kuching,Fully Furnished,2,2,1,51200,Sri Putramas III / Royal Regent,2000
750,Mont Kiara,Fully Furnished,1,1,0,50480,Mont Kiara Sophia,2400
850,KL City Centre,Fully Furnished,1,1,1,50450,Mirage Residence,3000
1711,KL City Centre,Fully Furnished,3,3,2,50450,Mirage Residence,5500
1539,KL City Centre,Fully Furnished,2,3,2,50450,Mirage Residence,5000
1150,Kuchai Lama,Fully Furnished,2,3,2,57100,Sri Desa,1800
918,Taman Gembira,Fully Furnished,2,3,1,58200,Bukit Gembira,1500
1400,Jalan Kuching,Unfurnished,2,3,0,50000,Royal Domain Sri Putramas 2,2100
1037,Jalan Ipoh,Fully Furnished,2,3,1,51100,Deskye Residence,1800
1087,Sentul,Fully Furnished,2,3,0,51100,The Saffron,2400
1182,KLCC,Fully Furnished,2,3,1,50250,The Crest,4500
1313,Taman SA,Fully Furnished,2,2,0,59000,Jamnah View,3500
911,Taman Mas Tiara,Fully Furnished,2,3,1,51200,Kiara East,1800
911,Taman Mas Tiara,Fully Furnished,2,3,2,51200,Kiara East,2000
698,Taman Mas Tiara,Fully Furnished,1,2,0,51200,Kiara East,1800
1100,Sri Petaling,Unfurnished,2,3,0,57000,Endah Puri,1100
787,Hampshire Park,Fully Furnished,1,1,1,50450,Hampshire Residences,3500
704,Bangsar,Fully Furnished,1,2,1,59100,Bangsar Permai,2200
1065,Bangsar,Unfurnished,2,2,1,59100,Bangsar Puteri,2200
969,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,4000
1117,Bangsar,Fully Furnished,2,2,2,59100,Cascadium,3800
1044,Taman Gembira,Fully Furnished,2,3,1,58200,Desa Cindaimas,1550
1757,Sentul,Fully Furnished,5,3,2,51100,The Saffron,3200
1206,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Sophia,3200
1329,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Sophia,3500
1208,Bukit Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Palma,3500
1100,Mont Kiara,Fully Furnished,2,3,2,50480,Laman Suria,3500
950,Mont Kiara,Fully Furnished,2,2,1,50480,Laman Suria,2600
1025,Mont Kiara,Fully Furnished,2,2,1,50480,Laman Suria,2500
1523,Taman Serangkai,Fully Furnished,2,2,0,58200,Seringin Residences,3200
1523,Taman Serangkai,Fully Furnished,2,2,2,58200,Seringin Residences,3800
1129,Taman Sri Endah,Fully Furnished,2,3,1,57000,Endah Villa,1700
1192,Kuchai Entreprenuner Park,Fully Furnished,2,3,2,58200,Dynasty Garden Condominium,1900
1120,Kuchai Entreprenuner Park,Fully Furnished,2,3,2,58200,Dynasty Garden Condominium,2200
936,Taman Kuchai Jaya,Fully Furnished,2,2,2,58200,Palace Court (Sri Istana),2000
1100,Dutamas,Fully Furnished,2,3,1,51200,Changkat View,1700
1100,Dutamas,Fully Furnished,2,3,1,51200,Changkat View,2000
938,Taman Danau Desa,Fully Furnished,2,4,1,58100,Danau Idaman,1800
1545,Ampang,Fully Furnished,3,3,0,50450,Brunsfield EmbassyView,5000
2021,Bukit Jalil,Fully Furnished,4,4,3,57000,KM1 East,5000
1032,Bukit Jalil,Fully Furnished,2,3,2,58200,The Z Residence,2300
1585,Taman Desa,Fully Furnished,2,3,1,58100,OBD Garden Tower,3000
1400,Taman Desa,Fully Furnished,2,3,1,58200,Bukit Desa Condominium,2100
548,Bukit Bintang,Unfurnished,1,1,0,50150,The Robertson,2500
1129,Taman Sri Endah,Fully Furnished,2,3,0,57000,Endah Villa,1780
1600,Mont' Kiara,Fully Furnished,3,4,1,50480,Almaspuri,4500
1333,Bukit Bintang,Fully Furnished,2,3,1,50200,Seri Raja Chulan,3400
1215,Jalan Klang Lama (Old Klang Road),Fully Furnished,2,3,1,58200,288 Residences,1900
1378,Setapak,Unfurnished,2,4,1,53200,Platinum Lake PV 20,1650
1300,Pantai Dalam,Fully Furnished,2,3,1,59200,Pantai Panorama Condominiums,2700
1086,Bangsar,Fully Furnished,2,2,0,59100,Cascadium,2800
1267,Taman Seri Rampai,Fully Furnished,2,3,0,53300,Villa Wangsamas,2100
1348,KLCC,Unfurnished,2,1,0,50450,The Troika,5500
1400,City Centre,Fully Furnished,3,3,1,50150,Sri Emas,2800
920,Sentul,Fully Furnished,2,2,0,51000,The Tamarind,2200
1286,Taman Wangsa Maju,Fully Furnished,2,4,2,53300,Desa Putra,2500
1265,Taman Wangsa Maju,Fully Furnished,2,4,1,53300,Desa Putra,2500
800,Bukit Bintang,Fully Furnished,1,1,1,50200,Angkasa Impian,2200
1141,Sri Petaling,Fully Furnished,2,3,0,57000,Endah Regal Condominium,1700
775,Jalan Tun Razak,Unfurnished,1,1,0,50450,Menara Bintang Goldhill,2850
1650,Bangsar,Fully Furnished,3,3,1,59100,Menara Bangsar,5500
1260,Bangsar,Fully Furnished,2,2,1,59100,Park Rose,4500
1100,Bangsar,Fully Furnished,2,2,1,59100,Cascadium,3300
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3500
979,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,4500
1067,KL Eco City,Fully Furnished,2,2,2,59200,Vogue Suites One,4500
786,KL Eco City,Fully Furnished,1,2,1,59200,Vogue Suites One,2800
1000,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,4500
870,Jalan Kuching,Fully Furnished,2,2,1,51200,Sri Putramas III / Royal Regent,2000
2750,Dutamas,Fully Furnished,3,4,3,51200,Prima Duta,4000
1831,Taman Segambut SPPK,Fully Furnished,4,4,2,51200,Sutramas Luxury Condominium,3500
1280,Bukit Kiara,Unfurnished,2,3,1,50480,Mont Kiara Palma,4300
1400,Taman Tun Dr Ismail,Fully Furnished,2,3,0,60000,Kiara Park,2600
860,Mont Kiara,Fully Furnished,1,1,0,50480,Tiffani kiara,3300
1517,Bangsar,Fully Furnished,3,3,1,59100,Bayu Angkasa,2700
1650,Bangsar,Fully Furnished,3,3,1,59100,Menara Bangsar,5800
650,Bangsar,Fully Furnished,1,1,1,59100,Tivoli Villas,2800
1399,Mont Kiara,Fully Furnished,2,3,2,50480,Angkupuri Condominium,3500
720,Taman SA,Fully Furnished,1,1,1,59000,Jamnah View,2800
1285,Bangsar,Fully Furnished,2,2,1,59100,Park Rose,4500
1590,Bangsar,Fully Furnished,2,3,2,59100,Bayu Angkasa,4500
1930,KLCC,Fully Furnished,2,2,1,50450,The Troika,9000
900,KL Sentral,Fully Furnished,1,2,1,50450,Suasana Sentral Loft,3300
1200,Bukit Bintang,Fully Furnished,2,3,1,50200,Angkasa Impian,2900
1033,Bukit Jalil,Fully Furnished,2,3,1,58200,The Z Residence,2500
1459,Bukit Jalil,Fully Furnished,3,4,2,58200,Kiara Residence 2 (Residensi Kiara Jalil 2),2500
1370,Bukit Jalil,Fully Furnished,2,4,4,57000,Savanna Condominium,3000
1370,Bukit Jalil,Fully Furnished,2,3,0,57000,Savanna Condominium,2400
914,Desa ParkCity,Fully Furnished,1,2,1,52200,The Northshore Gardens,3000
1044,Taman Sungai Besi,Unfurnished,2,3,1,57100,Midfields 2,1400
1044,Taman Sungai Besi,Unfurnished,2,3,1,57100,Midfields 2,1450
1400,Mont Kiara,Fully Furnished,2,3,1,50480,Vista Kiara,3000
1600,Mont' Kiara,Fully Furnished,3,4,2,50480,Almaspuri,4500
1280,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Bayu,3500
1249,Mont Kiara,Fully Furnished,2,3,1,50480,Angkupuri Condominium,3450
1616,Mont Kiara,Fully Furnished,3,3,2,50480,Mont Kiara Meridin,4800
931,Mont Kiara,Fully Furnished,2,2,1,50480,Laman Suria,2300
1600,Bangsar,Fully Furnished,2,3,1,59100,Bayu Angkasa,2700
1107,Bangsar,Fully Furnished,2,2,1,59100,Cascadium,3250
1200,Cheras,Unfurnished,2,3,0,55100,Pertiwi Indah,2500
920,Taman Gembira,Fully Furnished,2,3,1,58200,Bukit Gembira,1600
920,Taman Gembira,Unfurnished,2,3,1,58200,Bukit Gembira,1200
1044,KL Sentral,Fully Furnished,1,2,1,50450,Suasana Sentral Loft,3500
1068,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Bayu,2300
1047,Jalan Tun Razak,Fully Furnished,2,2,1,50450,Menara Bintang Goldhill,2900
3115,Desa Pandan,Fully Furnished,5,5,3,55100,Mutiara Upper East,8000
1513,Bukit Jalil,Fully Furnished,3,4,2,58200,The Rainz,3599
1200,Kuchai Entreprenuner Park,Unfurnished,2,3,1,58200,Dynasty Garden Condominium,1500
1087,Sentul,Fully Furnished,2,3,1,51000,The Tamarind,1900
1400,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,2800
1125,Jalan Kuching,Fully Furnished,2,3,0,51200,Sri Putramas III / Royal Regent,2000
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2600
1100,Jalan Kuching,Unfurnished,2,3,0,51200,Sri Putramas III / Royal Regent,1500
1267,Taman Seri Rampai,Unfurnished,2,3,0,53300,Villa Wangsamas,2200
1400,Setapak,Unfurnished,2,4,0,53200,Platinum Lake PV 20,1600
1100,Dutamas,Unfurnished,2,3,0,51200,Changkat View,1900
1018,Sri Hartamas,Unfurnished,2,3,0,50480,Puncak Prima,2200
1100,Jalan Kuching,Unfurnished,2,3,0,51200,Sri Putramas,1600
1400,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Astana,4500
1600,Bandar Menjalara,Fully Furnished,2,3,2,52200,Menjalara 18,2400
1360,Bandar Menjalara,Fully Furnished,3,4,1,52200,Menjalara 18,2200
1400,Jalan Kuching,Fully Furnished,2,3,2,50000,Royal Domain Sri Putramas 2,3000
1100,Jalan Kuching,Fully Furnished,2,3,1,51200,Sri Putramas,1600
1799,Dutamas,Fully Furnished,2,3,2,52100,Verdana,4200
1550,Mont Kiara,Fully Furnished,2,3,0,50480,Angkupuri Condominium,4500
2243,Mont Kiara,Fully Furnished,3,3,2,50480,Residensi 22,9600
1878,Mont Kiara,Fully Furnished,3,3,2,50480,Residensi 22,8000
3041,Mont Kiara,Fully Furnished,5,5,2,50480,Residensi 22,9500
1281,Bukit Jalil,Fully Furnished,2,3,3,57000,Savanna Condominium,2700
1710,Dutamas,Fully Furnished,4,4,2,52100,Concerto North Kiara,4000
1700,Kuala Lumpur,Fully Furnished,2,3,1,50400,Menara Avenue (Menara Promenade),2800
1207,Taman Danau Kota,Fully Furnished,2,3,1,53100,Platinum Lake PV 10,1700
870,Jalan Kuching,Fully Furnished,2,2,1,51200,Sri Putramas III / Royal Regent,2100
918,Taman Danau Desa,Fully Furnished,2,3,1,58100,Danau Impian,1700
1097,Taman Desa,Fully Furnished,2,3,2,58100,Casa Desa,1880
989,Kuchai Lama,Fully Furnished,2,3,1,58200,De Tropicana,1380
1400,Taman Seputeh,Fully Furnished,2,3,1,58000,Seputeh Permai,2400
1323,Taman Rainbow,Fully Furnished,2,3,0,51100,Villa Angsana,1700
1050,Sentul,Fully Furnished,2,3,0,51000,Sang Suria,1800
800,Taman Desa Petaling,Unfurnished,2,3,1,57100,Bukit Winner (Winner Heights),1000
1268,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,4000
1352,Mont Kiara,Unfurnished,2,3,1,50480,Mont Kiara Pines,4500
967,Taman Connaught,Unfurnished,2,3,1,56000,Seri Cendekia,1200
1800,Dutamas,Fully Furnished,3,3,2,52100,Verdana,4000
1385,Taman Sri Endah,Unfurnished,2,3,0,57000,Endah Ria,2100
1230,Taman Dato Senu,Fully Furnished,2,3,2,51000,Bayu Sentul,1800
1162,Sentul,Fully Furnished,2,3,1,51000,Sang Suria,2000
850,Taman Len Seng,Unfurnished,2,2,1,43200,Maxim Residences,1300
1112,Taman Sungai Besi,Fully Furnished,2,3,0,57100,Midfields,2000
900,Puchong,Unfurnished,2,3,1,58200,Residensi Puchongmas,1200
1650,Taman Desa,Fully Furnished,2,3,0,58100,OBD Garden Tower,3300
1590,Jalan Kuching,Fully Furnished,2,3,2,51200,Sri Putramas III / Royal Regent,3200
1590,Jalan Kuching,Fully Furnished,2,3,1,51200,Sri Putramas III / Royal Regent,3500
1320,Jalan Kuching,Fully Furnished,2,3,2,50000,Royal Domain Sri Putramas 2,2150
1295,Jalan Kuching,Fully Furnished,2,3,2,50000,Royal Domain Sri Putramas 2,2100
1200,Ampang,Fully Furnished,2,3,0,68000,City Garden Palm Villa Condominium,1800
691,Taman Mas Tiara,Fully Furnished,1,2,1,51200,Kiara East,1650
1119,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,3900
868,KL City,Unfurnished,2,2,0,55100,Tribeca,6500
1200,Dutamas,Unfurnished,2,2,1,51200,Icon Residence,4300
1200,Dutamas,Unfurnished,2,2,1,51200,Icon Residence,4500
1200,Dutamas,Unfurnished,2,2,1,51200,Icon Residence,4800
